Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [2525 Mini Shop],Price [2525 Mini Shop],In stock [2525 Mini Shop],Low stock [2525 Mini Shop],"Tax - ""消費税"" (8%)"
ไวไวรสต้มยำกุ้ง,10753,ไวไวรสต้มยำกุ้ง,บะหมี่กึ่งสำเร็จรูป,,N,,,,,,,0,8850100004482,,,Y,Y,980,2.000,,Y
ไวไวหมูสับ,10914,ไวไวหมูสับ,บะหมี่กึ่งสำเร็จรูป,,N,,,,,,,0,,,,Y,Y,100,30.000,,Y
ไวไว-1,10610,ไวไวหมูสับต้มยำ,บะหมี่กึ่งสำเร็จรูป,,N,,,,,,,77,8850100126016,,,Y,Y,100,-7.000,,Y
ไวไวเส้นหมี่หมูสับ,11102,ไวไวเส้นหมี่หมูสับ,บะหมี่กึ่งสำเร็จรูป,,N,,,,,,,77,8850100205049,,,Y,Y,100,11.000,,Y
ไส้กรอกเล็ก,10644,ไส้กรอกเล็ก,,,N,,,,,,,500,,,,Y,Y,700,9.000,,Y
ไส้อ่อน,11134,ไส้อ่อน,FROZEN,,N,,,,,,,418,3900084000018,,,Y,Y,680,8.000,,Y
ไส้อั่วแม่นาง,11082,ไส้อั่วแม่นาง,,,N,,,,,,,500,,,,Y,Y,650,12.000,,Y
クリームみたいな石けん,10498,クリームみたいな石けん,Cosmetic,,N,,,,,,,0,4901301232038,,,Y,Y,110,0.000,0.000,Y
ズムズムヌードル(zumzum-noodle),10023,ズムズムヌードル(zumzum NOODLE),สินค้าเวียดนาม,,N,,,,,,,850,,,,Y,Y,50,0.000,0.000,Y
そぅめん,10271,そぅめん,อาหารจำพวกเส้น,,N,,,,,,,214,4939555700300,,,Y,Y,298,14.000,,Y
